City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,luau,-10.7073,22.2247,22.84,69,78,1.42,AO,1699722271
242,krasnopavlivka,49.1372,36.3272,9.1,54,100,8.45,UA,1699722353
243,san,13.3034,-4.8956,36.59,11,93,3.17,ML,1699722354
244,sandnessjoen,66.0217,12.6316,-1.71,64,0,6.74,NO,1699722354
245,santa ana,33.7456,-117.8678,23.29,33,0,0.0,US,1699722258
246,hamilton,39.1834,-84.5333,10.55,55,1,1.79,US,1699722004
247,idrinskoye,54.3708,92.1358,-12.25,94,99,1.32,RU,1699722356
248,reggane,26.7158,0.1714,29.19,16,3,3.37,DZ,1699722357
249,gebeit,21.0667,36.3167,26.02,57,21,5.76,SD,1699722357
250,usinsk,65.9939,57.5281,-4.4,92,99,4.47,RU,1699722358
251,cooper's town,26.8667,-77.5167,25.85,81,2,4.69,BS,1699722359
252,kiunga,-6.1219,141.2906,21.56,93,74,1.22,PG,1699722359
253,khamis mushait,18.3064,42.7292,17.34,59,0,1.54,SA,1699722360
254,port douglas,-16.4833,145.4667,23.34,83,51,4.66,AU,1699722360
255,hermanus,-34.4187,19.2345,17.1,74,0,5.97,ZA,1699722361
256,goz beida,13.95,20.55,30.94,17,94,4.11,TD,1699722362
257,ciudad lazaro cardenas,17.9583,-102.2,29.64,65,38,0.14,MX,1699722298
258,ponte de sor,39.2496,-8.0101,19.26,78,100,3.62,PT,1699722364
259,tura,25.5198,90.2201,19.08,87,0,1.72,IN,1699722365
260,hawaiian paradise park,19.5933,-154.9731,21.13,94,100,2.57,US,1699722366
261,phan rang-thap cham,11.5667,108.9833,24.41,90,65,2.65,VN,1699722367
262,port mathurin,-19.6833,63.4167,25.36,80,13,3.95,MU,1699722367
263,kani keli,-12.9536,45.1033,27.59,76,86,2.52,YT,1699722368
264,crane,31.3974,-102.3501,11.6,69,100,1.89,US,1699722369
265,caluula,11.9661,50.7569,27.57,80,100,6.23,SO,1699722153
266,mammoth lakes,37.6485,-118.9721,7.97,30,0,0.0,US,1699722370
267,farafenni,13.5667,-15.6,36.26,17,10,0.91,GM,1699722372
268,guerrero negro,27.9769,-114.0611,21.6,30,0,0.34,MX,1699722375
269,mugia,43.1041,-9.2179,18.28,96,100,11.81,ES,1699722376
270,tyukhtet,56.5389,89.3011,-2.61,91,100,2.11,RU,1699722377
271,ihtiman,42.4333,23.8167,11.34,49,21,4.47,BG,1699722378
272,port alfred,-33.5906,26.891,18.99,86,26,3.13,ZA,1699722379
273,mahina,-17.5065,-149.489,27.87,74,40,5.14,PF,1699722380
274,sidney,-33.8679,151.2073,19.84,79,22,11.32,AU,1699722114
275,puerto aysen,-45.4,-72.7,8.14,92,90,2.64,CL,1699722382
276,santa cruz,-17.8,-63.1667,37.7,39,20,13.38,BO,1699722333
277,naze,28.3667,129.4833,17.51,70,96,5.61,JP,1699722384
278,amahai,-3.3333,128.9167,26.11,86,81,0.77,ID,1699722385
279,manismata,-2.4667,111.0333,24.04,93,72,0.42,ID,1699722386
280,luderitz,-26.6481,15.1594,20.24,58,0,12.67,NA,1699722387
281,okhotsk,59.3833,143.3,-18.6,87,7,9.25,RU,1699722387
282,ormond-by-the-sea,29.3491,-81.0665,28.94,75,40,4.12,US,1699722388
283,galliano,29.4422,-90.2992,21.0,88,100,3.09,US,1699722389
284,papao,-17.75,-149.55,27.82,78,90,5.52,PF,1699722390
285,ketchikan,55.3422,-131.6461,4.99,100,100,1.54,US,1699722391
286,jalai nur,49.45,117.7,-16.54,87,7,2.55,CN,1699722337
287,yesilyurt,38.2972,38.2497,7.97,51,7,2.27,TR,1699722392
288,pingzhuang,42.0372,119.2889,-9.79,82,10,1.46,CN,1699722393
289,sayat,38.7839,63.8803,9.93,35,44,3.25,TM,1699722394
290,coquimbo,-29.9533,-71.3436,17.23,72,12,5.21,CL,1699722395
291,kecskemet,46.9062,19.6913,8.18,100,100,5.14,HU,1699722396
292,papatowai,-46.5619,169.4708,8.95,78,49,3.73,NZ,1699722397
293,huarmey,-10.0681,-78.1522,23.45,70,35,5.08,PE,1699722398
294,utrik,11.2278,169.8474,26.03,91,100,6.72,MH,1699722399
295,la ronge,55.1001,-105.2842,-1.88,86,20,4.63,CA,1699722401
296,ixtapa,20.7,-105.2,30.13,74,40,1.79,MX,1699722402
297,timbuktu,16.7735,-3.0074,34.81,11,0,2.61,ML,1699722208
298,letpandan,17.7833,95.75,24.98,88,25,2.55,MM,1699722403
299,timimoun,29.2639,0.231,25.69,24,0,3.04,DZ,1699722404
300,fallon,39.4735,-118.7774,4.93,36,0,1.54,US,1699722404
301,aasiaat,68.7098,-52.8699,-12.79,78,100,3.02,GL,1699722405
302,kristiansund,63.1115,7.732,3.36,65,47,3.09,NO,1699722406
303,ariano irpino-martiri,41.1489,15.0833,11.36,76,17,4.12,IT,1699722407
304,saint joseph,39.7686,-94.8466,10.07,53,100,4.63,US,1699722407
305,la roda,39.2167,-2.15,15.55,65,100,10.42,ES,1699722408
306,laayoune,27.1622,-13.2032,29.19,42,0,7.2,EH,1699722196
307,college,64.8569,-147.8028,-8.03,79,100,1.54,US,1699722409
308,sabha,27.0377,14.4283,24.55,22,0,2.83,LY,1699722410
309,sumbawa besar,-8.5,117.4333,24.31,87,14,1.57,ID,1699722410
310,holualoa,19.6228,-155.9522,21.54,91,100,3.6,US,1699722411
311,lintong,34.378,109.2089,4.5,82,9,0.81,CN,1699722411
312,manta,-0.95,-80.7333,25.88,73,100,5.14,EC,1699722412
313,isangel,-19.55,169.2667,22.01,69,83,6.27,VU,1699722412
314,ayr,55.4627,-4.6339,4.99,81,0,1.03,GB,1699722234
315,urumqi,43.801,87.6005,-0.47,93,100,0.0,CN,1699722414
316,kone,-21.0595,164.8658,18.38,85,17,1.96,NC,1699722414
317,geraldton,-28.7667,114.6,18.23,82,48,4.12,AU,1699722415
318,puerto lempira,15.2667,-83.7667,28.98,81,85,5.31,HN,1699722416
319,sokoni,-6.4333,39.55,26.98,82,100,5.76,TZ,1699722417
320,champerico,14.3,-91.9167,28.95,73,79,2.65,GT,1699722418
321,coahuayana de hidalgo,18.7,-103.6583,31.34,59,85,0.94,MX,1699722419
322,tamanrasset,22.785,5.5228,27.95,9,0,3.6,DZ,1699722156
323,fale old settlement,-9.3852,-171.2468,28.77,73,20,3.41,TK,1699722420
324,vradiyivka,47.862,30.5919,11.32,96,95,2.95,UA,1699722421
325,chui,-33.6971,-53.4616,28.75,66,60,3.74,UY,1699722421
326,palikir - national government center,6.9248,158.1611,24.41,94,75,1.54,FM,1699722422
327,kapa'a,22.0752,-159.319,25.18,87,100,5.14,US,1699722424
328,port saint john's,-31.6229,29.5448,20.75,86,99,6.39,ZA,1699722424
329,yekaterinovka,52.0508,44.3451,3.23,86,64,3.26,RU,1699722425
330,elliot lake,46.3834,-82.6331,1.07,69,42,1.45,CA,1699722318
331,port lincoln,-34.7333,135.8667,12.54,75,99,5.15,AU,1699722426
332,vernon,50.2581,-119.2691,6.83,79,100,1.34,CA,1699722391
333,vuktyl,63.8567,57.3094,-3.83,98,97,1.34,RU,1699722428
334,eyl,7.9803,49.8164,27.33,75,100,6.92,SO,1699722429
335,whitehorse,60.7161,-135.0538,-2.17,100,75,1.54,CA,1699722324
336,semnan,35.5729,53.3971,15.43,46,77,1.15,IR,1699722430
337,nadym,65.5333,72.5167,-1.81,98,100,6.21,RU,1699722431
338,okha,53.5739,142.9478,-5.67,79,100,7.02,RU,1699722431
339,tucuma,-0.1833,-50.05,30.87,58,78,4.87,BR,1699722339
340,quixeramobim,-5.1992,-39.2928,36.03,22,1,3.76,BR,1699722240
341,harar,9.3094,42.1258,17.67,56,72,1.24,ET,1699722434
342,tolanaro,-25.0319,46.9987,21.31,70,10,5.74,MG,1699722434
343,abepura,-2.6333,140.5833,26.45,83,20,1.03,ID,1699722435
344,toliara,-23.35,43.6667,25.42,64,0,4.93,MG,1699722436
345,qaqortoq,60.7167,-46.0333,-1.51,69,37,3.22,GL,1699722436
346,kadnikov,59.5022,40.338,2.68,96,100,2.35,RU,1699722384
347,harij,23.7,71.9,24.36,24,0,3.91,IN,1699722438
348,bom jesus do galho,-19.8289,-42.3161,32.61,31,7,2.55,BR,1699722439
349,plettenberg bay,-34.0527,23.3716,16.93,82,41,4.76,ZA,1699722440
350,barbacoas,1.6715,-78.1398,29.12,76,100,2.29,CO,1699722441
351,newman,37.3138,-121.0208,14.02,53,77,1.19,US,1699722441
352,wewak,-3.5534,143.6268,25.98,86,80,1.92,PG,1699722442
353,kingston,17.997,-76.7936,32.53,55,75,3.09,JM,1699722444
354,peniche,39.3558,-9.3811,19.6,87,100,5.74,PT,1699722444
355,paraiso,9.8383,-83.8656,25.48,76,100,2.1,CR,1699722445
356,egilsstadir,65.2653,-14.3948,-4.89,81,65,1.65,IS,1699722446
357,pucheng,27.9233,118.5333,13.12,98,100,1.74,CN,1699722446
358,mega,4.05,38.3,18.46,65,86,5.25,ET,1699722447
359,rundu,-17.9333,19.7667,30.75,26,83,3.27,NA,1699722448
360,khadan khak,30.7477,67.7085,10.5,25,0,4.0,PK,1699722448
361,santyoku,37.4406,129.1708,3.92,50,20,3.82,KR,1699722449
